Release.Date,Movie,Production.Budget,Domestic.Gross,Worldwide.Gross,Rate,Raters,Genres,imdbUrl,Directed.by,Produced.by,Written.by,Starring,Music.by,Cinematography,Edited.by,Production.company,Distributed.by,Release.date,Running.time,Country,Language,Budget,Box.office,wikiUrl,image,Screenplay.by,Story.by,Based.on,Production.companies
11/3/2006,Flushed Away,"$149,000,000","$64,665,672","$179,357,126",6.6,"92,896",Animation Adventure Comedy Family,http://www.imdb.com/title/tt0424095/,David BowersSam Fell,Cecil KramerDavid SproxtonPeter Lord,NA,Hugh JackmanKate WinsletIan McKellen,Harry Gregson Williams,NA,"Eric Dapkewicz
John Venzon",Aardman AnimationsDreamWorks Animation,Paramount Pictures1,"3 November 2006 (2006-11-03) (United States)
1 December 2006 (2006-12-01) (United Kingdom)",84 minutes,"United Kingdom
United States[1]",English,$149 million,$178 million[2],https://en.wikipedia.org/wiki/Flushed_Away,//upload.wikimedia.org/wikipedia/en/thumb/4/48/Flushed_poster.jpg/220px-Flushed_poster.jpg,"Dick Clement
Ian La Frenais
Chris Lloyd
Joe Keenan
William Davies[1]","Sam Fell
Peter Lord
Dick Clement
Ian La Frenais[1]",NA,NA
11/26/2008,Four Christmases,"$80,000,000","$120,146,040","$168,311,558",5.6,"52,302",Comedy Drama Romance,http://www.imdb.com/title/tt0369436/,Seth Gordon,Roger BirnbaumGary BarberJonathan Glickman,NA,Vince VaughnReese WitherspoonRobert DuvallJon FavreauMary SteenburgenDwight YoakamTim McGrawKristin ChenowethJon VoightSissy Spacek,Alex Wurman,Jeffrey L. Kimball,"Mark Helfrich
Melissa Kent","Spyglass Entertainment
Birnbaum/Barber Productions
Wild West Picture Show ProductionsType A Films",New Line Cinema,"November 26, 2008 (2008-11-26)",88 minutes,"Germany
United States",English,$80 million[1],$163.7 million[1],https://en.wikipedia.org/wiki/Four_Christmases,//upload.wikimedia.org/wikipedia/en/thumb/c/ca/Four_Christmases-Movie_Poster.PNG/220px-Four_Christmases-Movie_Poster.PNG,"Matt R. Allen
Caleb WilsonJon LucasScott Moore","Matt R. Allen
Caleb Wilson",NA,NA
11/22/2013,Frozen,"$150,000,000","$400,738,009","$1,274,234,980",7.5,"466,611",Animation Adventure Comedy Family Fantasy Musical,http://www.imdb.com/title/tt2294629/,"Chris Buck
Jennifer Lee",Peter Del Vecho,NA,"Kristen Bell
Idina Menzel
Jonathan Groff
Josh Gad
Santino Fontana","Kristen Anderson-Lopez
Robert Lopez
Christophe Beck
Frode Fjellheim",NA,Jeff Draheim,"Walt Disney Pictures
Walt Disney Animation Studios","Walt Disney Studios
Motion Pictures","November 19, 2013 (2013-11-19) (El Capitan Theatre)
November 27, 2013 (2013-11-27) (United States)",102 minutes[1],United States,English,$150 million[2][3],$1.287 billion[3],https://en.wikipedia.org/wiki/Frozen_(2013_film),//upload.wikimedia.org/wikipedia/en/thumb/0/05/Frozen_%282013_film%29_poster.jpg/220px-Frozen_%282013_film%29_poster.jpg,Jennifer Lee,"Chris Buck
Jennifer Lee
Shane Morris",NA,NA
12/21/2005,Fun With Dick And Jane,"$140,000,000","$110,550,000","$203,018,919",6.1,"117,691",Comedy Crime,http://www.imdb.com/title/tt0369441/,Dean Parisot[1],"Jim Carrey[2]
Brian Grazer",NA,"Jim Carrey
Téa Leoni
Alec Baldwin
Richard Jenkins",Theodore Shapiro,Jerzy Zielinski,Don Zimmerman,"Imagine Entertainment
JC 23 Entertainment[2]",Columbia Pictures,"December 21, 2005 (2005-12-21)",91 minutes,United States,English,$100 million[3],$202 million[3],https://en.wikipedia.org/wiki/Fun_with_Dick_and_Jane_(2005_film),//upload.wikimedia.org/wikipedia/en/thumb/1/10/Fun_with_D_%26_J.jpg/220px-Fun_with_D_%26_J.jpg,"Judd Apatow
Nicholas Stoller","Judd Apatow
Nicholas Stoller
Gerald Gaiser","Fun with Dick and Jane
by Gerald Gaiser
Fun with Dick and Jane
by David GilerJerry Belson
Mordecai Richler",NA
4/3/2015,Furious 7,"$190,000,000","$351,032,910","$1,516,748,684",7.2,"311,346",Action Crime Thriller,http://www.imdb.com/title/tt2820852/,James Wan,"Neal H. Moritz
Vin Diesel
Michael Fottrell",Chris Morgan,"Vin Diesel
Paul Walker
Dwayne Johnson
Michelle Rodriguez
Tyrese Gibson
Chris ""Ludacris"" Bridges
Jordana Brewster
Djimon Hounsou
Kurt Russell
Jason Statham",Brian Tyler,"Stephen F. Windon
Marc Spicer","Christian Wagner
Dylan Highsmith
Kirk Morri
Leigh Folsom Boyd","Original Film
One Race Films
Media Rights Capital
China Film",Universal Pictures,"April 1, 2015 (2015-04-01) (TCL Chinese Theatre)
April 3, 2015 (2015-04-03) (United States)",137 minutes[1],United States[2],English,$190 million[3],$1.516 billion[3],https://en.wikipedia.org/wiki/Fast_%26_Furious_7_(2014_film),//upload.wikimedia.org/wikipedia/en/thumb/b/b8/Furious_7_poster.jpg/220px-Furious_7_poster.jpg,NA,NA,"Characters
by Gary Scott Thompson",NA
10/17/2014,Fury,"$80,000,000","$85,755,593","$210,253,368",7.6,"343,563",Action Drama War,http://www.imdb.com/title/tt2713180/,David Ayer,"Bill Block
John Lesher
Ethan Smith
David Ayer",David Ayer,"Brad Pitt
Logan Lerman
Shia LaBeouf
Michael Peña
Jon Bernthal
Jason Isaacs
Scott Eastwood",Steven Price,Roman Vasyanov,"Dody Dorn
Jay Cassidy","Le Grisbi Productions
QED International
LStar Capital
Crave Films
Plan B",Columbia Pictures,"October 15, 2014 (2014-10-15) (Newseum)
October 17, 2014 (2014-10-17) (United States)",134 minutes[1][2],United States[3],English,"$80 million (gross)[4]
$66.5 million (net)[4]",$211.8 million[5],https://en.wikipedia.org/wiki/Fury_(2014_film),//upload.wikimedia.org/wikipedia/en/thumb/1/17/Fury_2014_poster.jpg/220px-Fury_2014_poster.jpg,NA,NA,NA,NA
7/24/2009,G-Force,"$150,000,000","$119,436,770","$292,817,841",5.1,"35,659",Animation Action Adventure Comedy Family Fantasy Sci-Fi,http://www.imdb.com/title/tt0436339/,Hoyt Yeatman,Jerry Bruckheimer,NA,Sam RockwellTracy MorganPenélope CruzJon FavreauNicolas CageSteve BuscemiZach GalifianakisBill NighyWill Arnett,Trevor Rabin,Bojan Bazelli,Jason HellmannMark Goldblatt,Walt Disney PicturesJerry Bruckheimer Films,"Walt Disney Studios
Motion Pictures","July 24, 2009 (2009-07-24) (United States)[1]",88 minutes,United States,English,$150 million[1],$292.8 million[1],https://en.wikipedia.org/wiki/G-Force_(film),//upload.wikimedia.org/wikipedia/en/thumb/f/f5/G-Force_poster.jpg/220px-G-Force_poster.jpg,"Cormac Wibberley
Marianne Wibberley",Hoyt Yeatman,NA,NA
3/27/2013,G.I. Joe: Retaliation,"$140,000,000","$122,523,060","$375,740,705",5.8,"155,189",Action Adventure Sci-Fi Thriller,http://www.imdb.com/title/tt1583421/,Jon M. Chu,"Lorenzo di Bonaventura
Brian Goldner","Rhett Reese
Paul Wernick","Dwayne Johnson
D.J. Cotrona
Byung-hun Lee
Adrianne Palicki
Ray Park
Jonathan Pryce
Ray Stevenson
Channing Tatum
Bruce Willis",Henry Jackman,Stephen F. Windon,"Roger Barton
Jim May",NA,"Paramount Pictures[1]
Metro-Goldwyn-Mayer Pictures[3]","March 27, 2013 (2013-03-27) (France[4])
March 28, 2013 (2013-03-28) (United States)",110 minutes[5],United States,English,$155 million[6],$375.7 million[7],https://en.wikipedia.org/wiki/G.I._Joe:_Retaliation,//upload.wikimedia.org/wikipedia/en/thumb/0/09/G.I._Joe_Retaliation.jpg/220px-G.I._Joe_Retaliation.jpg,NA,NA,"G.I. Joe
by Hasbro","Di Bonaventura Pictures
Hasbro Studios[1]
Skydance Productions[2]
Spyglass Entertainment (uncredited)"
8/7/2009,G.I. Joe: The Rise of Cobra,"$175,000,000","$150,201,498","$302,469,017",5.8,"183,135",Action Adventure Sci-Fi Thriller,http://www.imdb.com/title/tt1046173/,Stephen Sommers,"Lorenzo di Bonaventura
Bob Ducsay
Brian Goldner",NA,"Adewale Akinnuoye-Agbaje
Christopher Eccleston
Joseph Gordon-Levitt
Lee Byung-hun
Sienna Miller
Rachel Nichols
Jonathan Pryce
Said Taghmaoui
Channing Tatum
Marlon Wayans
Dennis Quaid",Alan Silvestri,Mitchell Amundsen,"Bob Ducsay
Jim May","Spyglass Entertainment
Di Bonaventura Pictures
Hasbro Studios
Sommers Company",Paramount Pictures,"August 7, 2009 (2009-08-07)",118 minutes[1],United States,English,$175 million[2],$302.5 million[3],https://en.wikipedia.org/wiki/G.I._Joe_(2009_film),//upload.wikimedia.org/wikipedia/en/thumb/b/bc/Gijoemovieposter.jpg/220px-Gijoemovieposter.jpg,"Stuart Beattie
David Elliot
Paul Lovett","Michael B. Gordon
Stuart Beattie
Stephen Sommers","G.I. Joe
by Hasbro",NA
12/20/2002,Gangs of New York,"$97,000,000","$77,730,500","$183,124,621",7.5,"342,045",Crime Drama,http://www.imdb.com/title/tt0217505/,Martin Scorsese,"Alberto Grimaldi
Harvey Weinstein",NA,"Leonardo DiCaprio
Daniel Day-Lewis
Cameron Diaz
Jim Broadbent
John C. Reilly
Henry Thomas
Brendan Gleeson",Howard Shore,Michael Ballhaus,Thelma Schoonmaker,"Alberto Grimaldi Productions
Initial Entertainment Group",Miramax,"December 20, 2002 (2002-12-20)",168 minutes[1],United States,English,$100 million[2],$193.8 million[2],https://en.wikipedia.org/wiki/Gangs_of_New_York,//upload.wikimedia.org/wikipedia/en/thumb/a/ae/Gangs_of_New_York_Poster.jpg/220px-Gangs_of_New_York_Poster.jpg,"Jay Cocks
Steven Zaillian
Kenneth Lonergan",Jay Cocks,NA,NA
10/20/2017,Geostorm,"$100,000,000","$25,369,113","$138,541,555",5.7,"12,649",Action Sci-Fi Thriller,http://www.imdb.com/title/tt1981128/,Dean Devlin[1],"David Ellison
Dean Devlin
Dana Goldberg","Dean Devlin
Paul Guyot","Gerard Butler
Jim Sturgess
Abbie Cornish
Alexandra Maria Lara
Richard Schiff
Robert Sheehan
Daniel Wu
Eugenio Derbez
Ed Harris
Andy García",Lorne Balfe,Roberto Schaefer,"Ron Rosen
Chris Lebenzon
John Refoua","Warner Bros. Pictures[2]
Skydance Media[2]
Electric Entertainment[2]",Warner Bros. Pictures[2],"October 20, 2017 (2017-10-20) (United States)",109 minutes[3],United States,English,$120 million[4],$137.5 million[4],https://en.wikipedia.org/wiki/Geostorm,//upload.wikimedia.org/wikipedia/en/7/76/Geostorm_official_teaser_poster.jpg,NA,NA,NA,NA
6/20/2008,Get Smart,"$80,000,000","$130,319,208","$226,739,416",6.5,"177,366",Action Adventure Comedy,http://www.imdb.com/title/tt0425061/,Peter Segal,"Leonard B. Stern
Alex Gartner
Charles Roven
Andrew Lazar
Michael Ewing","Tom J. Astle
Matt Ember","Steve Carell
Anne Hathaway
Dwayne Johnson
Alan Arkin
Terence Stamp
Terry Crews
David Koechner
James Caan",Trevor Rabin,Dean Semler,Richard Pearson,"Village Roadshow Pictures
Mosaic Media Group
Mad Chance
Callahan Filmworks
Atlas Entertainment",Warner Bros. Pictures,"June 20, 2008 (2008-06-20)",110 minutes[1],United States,English,$80 million[2],$230.7 million[2][3],https://en.wikipedia.org/wiki/Get_Smart_(film),//upload.wikimedia.org/wikipedia/en/thumb/8/88/Getsmart08.png/220px-Getsmart08.png,NA,NA,"Get Smart
by Mel BrooksBuck Henry",NA
3/31/2017,Ghost in the Shell,"$110,000,000","$40,563,557","$167,918,847",6.4,"127,162",Action Crime Drama Mystery Sci-Fi Thriller,http://www.imdb.com/title/tt1219827/,Rupert Sanders,"Avi Arad
Ari Arad
Steven Paul
Michael Costigan",NA,"Scarlett Johansson
Michael Carmen Pitt
Pilou Asbæk
Chin Han
Juliette Binoche","Clint Mansell[1]
Lorne Balfe",Jess Hall,"Neil Smith
Billy Rich",NA,Paramount Pictures[2],"March 16, 2017 (2017-03-16) (Shinjuku)
March 31, 2017 (2017-03-31) (United States)",106 minutes[4],United States[5],"English
Japanese",$110 million[6],$169.8 million[7],https://en.wikipedia.org/wiki/Ghost_in_the_Shell_(2017_film),//upload.wikimedia.org/wikipedia/en/thumb/1/11/Ghost_in_the_Shell_%282017_film%29.png/220px-Ghost_in_the_Shell_%282017_film%29.png,"Jamie Moss
William Wheeler
Ehren Kruger",NA,"Ghost in the Shell
by Masamune Shirow","DreamWorks Pictures[2]
Reliance Entertainment[3]
Arad Productions[2]"
2/16/2007,Ghost Rider,"$120,000,000","$115,802,596","$229,545,589",5.2,"194,935",Action Fantasy Horror Thriller,http://www.imdb.com/title/tt0259324/,Mark Steven Johnson,"Avi Arad
Steven Paul
Michael De Luca
Gary Foster",Mark Steven Johnson,"Nicolas Cage
Eva Mendes
Wes Bentley
Sam Elliott
Donal Logue
Peter Fonda",Christopher Young,Russell Boyd,Richard Francis-Bruce,NA,Columbia Pictures,"January 15, 2007 (2007-01-15) (Ukraine)
February 16, 2007 (2007-02-16) (United States)","110 minutes(Original version)
123 minutes(Extended cut)[1]",United States[2][3],English,$110 million[4],$228.7 million[4],https://en.wikipedia.org/wiki/Ghost_Rider_(2007_film),//upload.wikimedia.org/wikipedia/en/thumb/7/71/GhostRiderBigPoster.jpg/220px-GhostRiderBigPoster.jpg,NA,NA,"Ghost Rider
by Gary FriedrichRoy ThomasMike Ploog","Crystal Sky Pictures
Relativity Media
Marvel Entertainment
Femme Enceinte Pictures
Michael De Luca Productions
GH One
Vengeance Productions Pty Ltd."
7/15/2016,Ghostbusters,"$144,000,000","$128,350,574","$229,034,050",5.3,"158,817",Action Comedy Fantasy Sci-Fi,http://www.imdb.com/title/tt1289401/,Paul Feig,"Ivan Reitman
Amy Pascal","Katie Dippold
Paul Feig","Melissa McCarthy
Kristen Wiig
Kate McKinnon
Leslie Jones
Chris Hemsworth",Theodore Shapiro,Robert Yeoman,"Brent White
Melissa Bretherton","Columbia Pictures[1]
Village Roadshow Pictures[2]
The Montecito Picture Company[1]
Feigco Entertainment[3]
Pascal Pictures[3]
Ghost Corps[citation needed]",Sony Pictures Entertainment[1],"July 9, 2016 (2016-07-09) (TCL Chinese Theatre)
July 15, 2016 (2016-07-15) (United States)",116 minutes[4],"United States
Australia[5]",English,$144 million[6],$229.1 million[6],https://en.wikipedia.org/wiki/Ghostbusters_(2016_film),//upload.wikimedia.org/wikipedia/en/3/32/Ghostbusters_2016_film_poster.png,NA,NA,"Ghostbusters
by Ivan ReitmanDan AykroydHarold Ramis",NA
5/5/2000,Gladiator,"$103,000,000","$187,683,805","$457,683,805",8.5,"1,087,010",Action Adventure Drama,http://www.imdb.com/title/tt0172495/,Ridley Scott,"Douglas Wick
David Franzoni
Branko Lustig",NA,"Russell Crowe
Joaquin Phoenix
Connie Nielsen
Oliver Reed
Derek Jacobi
Djimon Hounsou
Richard Harris","Hans Zimmer
Lisa Gerrard",John Mathieson,Pietro Scalia,NA,"DreamWorks Pictures(United States)
Universal Pictures(International)","May 1, 2000 (2000-05-01) (Los Angeles)
May 5, 2000 (2000-05-05) (United States)
May 11, 2000 (2000-05-11) (Singapore)",155 minutes[2],"United Kingdom[3]
United States[4]",English,$103 million[5],$457.6 million[5],https://en.wikipedia.org/wiki/Gladiator_%282000_film%29,//upload.wikimedia.org/wikipedia/en/thumb/8/8d/Gladiator_ver1.jpg/220px-Gladiator_ver1.jpg,"David Franzoni
John Logan
William Nicholson",David Franzoni,NA,"Scott Free Productions
Red Wagon Entertainment[1]"
2/26/2016,Gods of Egypt,"$140,000,000","$31,153,464","$133,553,464",5.4,"79,311",Action Adventure Fantasy,http://www.imdb.com/title/tt2404233/,Alex Proyas,"Basil Iwanyk
Alex Proyas","Matt Sazama
Burk Sharpless","Nikolaj Coster-Waldau
Brenton Thwaites
Chadwick Boseman
Élodie Yung
Courtney Eaton
Gerard Butler
Geoffrey Rush",Marco Beltrami,Peter Menzies Jr.,Richard Learoyd,NA,Summit Entertainment,"February 25, 2016 (2016-02-25) (Australia)
February 26, 2016 (2016-02-26) (United States)",127 minutes[1],"United States
Australia[2]",English,$140 million[3],$150.7 million[4],https://en.wikipedia.org/wiki/Gods_of_Egypt_(film),NA,NA,NA,NA,"Thunder Road Pictures
Mystery Clock Cinema"
5/19/1998,Godzilla (1998),"$125,000,000","$136,314,294","$376,000,000",5.3,"160,628",Action Sci-Fi Thriller,http://www.imdb.com/title/tt0120685/,Roland Emmerich,Dean Devlin,NA,"Matthew Broderick
Jean Reno
Maria Pitillo
Hank Azaria
Kevin Dunn
Michael Lerner
Harry Shearer",David Arnold,Ueli Steiger,"Peter Amundson
David Siegelrel","Centropolis EntertainmentFried Films
Independent Pictures",TriStar Pictures,"May 20, 1998 (1998-05-20)",139 minutes,"United States
Japan",English,$130 million[1],$379 million[1],https://en.wikipedia.org/wiki/Godzilla_(1998_film),//upload.wikimedia.org/wikipedia/en/thumb/2/2e/Godzilla_%281998_Movie_Poster%29.jpg/220px-Godzilla_%281998_Movie_Poster%29.jpg,"Dean Devlin
Roland Emmerich","Ted ElliottTerry Rossio
Dean Devlin
Roland Emmerich","Godzilla
by Toho",NA
5/16/2014,Godzilla (2014),"$160,000,000","$200,676,069","$529,076,069",6.4,"324,898",Action Adventure Sci-Fi Thriller,http://www.imdb.com/title/tt0831387/,Gareth Edwards,"Thomas Tull
Jon Jashni
Mary Parent
Brian Rogers",NA,"Aaron Taylor-Johnson
Ken Watanabe
Elizabeth Olsen
Juliette Binoche
Sally Hawkins
David Strathairn
Bryan Cranston",Alexandre Desplat,Seamus McGarvey,Bob Ducsay,Legendary Pictures,"Warner Bros. Pictures (Worldwide)
Toho (Japan)","May 8, 2014 (2014-05-08) (Dolby Theatre)
May 16, 2014 (2014-05-16) (United States)",123 minutes[1],United States[2][3],English,$160 million[4],$529.1 million[4],https://en.wikipedia.org/wiki/Godzilla_(2014_film),//upload.wikimedia.org/wikipedia/en/1/10/Godzilla_%282014%29_poster.jpg,Max Borenstein,David Callaham,"Godzilla
by Toho",NA
6/9/2000,Gone in 60 Seconds,"$103,300,000","$101,643,008","$232,643,008",6.5,"231,618",Action Crime Thriller,http://www.imdb.com/title/tt0187078/,Dominic Sena,"Jerry Bruckheimer
Mike Stenson",Scott Rosenberg,"Nicolas Cage
Angelina Jolie
Giovanni Ribisi
Delroy Lindo
Will Patton
Christopher Eccleston
Chi McBride
Robert Duvall",Trevor Rabin,Paul Cameron,"Roger Barton
Chris Lebenzon
Tom Muldoon","Touchstone Pictures
Jerry Bruckheimer Films",Buena Vista Pictures,"June 9, 2000 (2000-06-09)","113 minutes
122 minutes (extended cut)[1]",United States,English,$90 million,$237.2 million,https://en.wikipedia.org/wiki/Gone_in_60_Seconds_(2000_film),//upload.wikimedia.org/wikipedia/en/thumb/2/2a/Gone_in_sixty_seconds.jpg/220px-Gone_in_sixty_seconds.jpg,NA,NA,"Gone in 60 Seconds
by H.B. Halicki",NA
10/4/2013,Gravity,"$110,000,000","$274,092,705","$695,941,797",7.8,"641,874",Drama Sci-Fi Thriller,http://www.imdb.com/title/tt1454468/,Alfonso Cuarón,"Alfonso Cuarón
David Heyman","Alfonso Cuarón
Jonás Cuarón","Sandra Bullock
George Clooney",Steven Price,Emmanuel Lubezki,"Alfonso Cuarón
Mark Sanger","Esperanto Filmoj
Heyday Films",Warner Bros. Pictures,"August 28, 2013 (2013-08-28) (Venice)
October 4, 2013 (2013-10-04) (United States)
November 7, 2013 (2013-11-07) (United Kingdom)",91 minutes[1],"United Kingdom
United States[2]",English,$100 million[3],$723.2 million[3],https://en.wikipedia.org/wiki/Gravity_(film),//upload.wikimedia.org/wikipedia/en/f/f6/Gravity_Poster.jpg,NA,NA,NA,NA
6/17/2011,Green Lantern,"$200,000,000","$116,601,172","$219,535,492",5.6,"236,368",Action Adventure Sci-Fi,http://www.imdb.com/title/tt1133985/,Martin Campbell,"Donald De Line
Greg Berlanti",NA,"Ryan Reynolds
Blake Lively
Peter Sarsgaard
Mark Strong
Angela Bassett
Temuera Morrison
Jay O. Sanders
Jon Tenney
Taika Waititi
Tim Robbins",James Newton Howard,Dion Beebe,Stuart Baird,"DC Entertainment
De Line Pictures",Warner Bros. Pictures,"June 15, 2011 (2011-06-15) (Grauman's Chinese Theatre)
June 17, 2011 (2011-06-17) (United States)",105 minutes[1],United States,English,$200 million[1],$219.9 million[1],https://en.wikipedia.org/wiki/Green_Lantern_%28film%29,//upload.wikimedia.org/wikipedia/en/thumb/6/6b/Green_Lantern_poster.jpg/220px-Green_Lantern_poster.jpg,"Greg Berlanti
Michael Green
Marc Guggenheim
Michael Goldenberg","Greg Berlanti
Michael Green
Marc Guggenheim","Green Lantern
by John BroomeGil Kane",NA
3/12/2010,Green Zone,"$100,000,000","$35,497,337","$97,523,020",6.8,"116,485",Action Drama Thriller War,http://www.imdb.com/title/tt0947810/,Paul Greengrass,"Tim Bevan
Eric Fellner
Lloyd Levin
Paul Greengrass",Brian Helgeland,"Matt Damon
Greg Kinnear
Brendan Gleeson
Amy Ryan
Khalid Abdalla
Jason Isaacs",John Powell,Barry Ackroyd,Christopher Rouse,Working Title FilmsStudioCanalRelativity MediaAntena 3 Films,Universal Pictures,"February 26, 2010 (2010-02-26) (YIFFF, Japan)
March 12, 2010 (2010-03-12) (United States and United Kingdom)",115 minutes,"France
Spain
United States
United Kingdom","English
Arabic",$100 million[1],$94.9 million[1],https://en.wikipedia.org/wiki/Green_Zone_(film),//upload.wikimedia.org/wikipedia/en/thumb/a/a7/Green_Zone_poster.jpg/220px-Green_Zone_poster.jpg,NA,NA,"Imperial Life in the Emerald City by
Rajiv Chandrasekaran",NA
7/12/2013,Grown Ups 2,"$80,000,000","$133,668,525","$247,023,808",5.4,"117,989",Comedy,http://www.imdb.com/title/tt2191701/,Dennis Dugan,"Adam Sandler
Jack Giarraputo","Fred Wolf
Adam Sandler
Tim Herlihy","Adam Sandler
Kevin James
Chris Rock
David Spade
Salma Hayek
Maya Rudolph
Maria Bello
Nick Swardson",Rupert Gregson-Williams,Theo van de Sande,Tom Costain,Happy Madison Productions[1],Sony Pictures Releasing[1],"July 12, 2013 (2013-07-12)",101 minutes[2],United States,English,$80 million[3],$247 million[4],https://en.wikipedia.org/wiki/Grown_Ups_2,//upload.wikimedia.org/wikipedia/en/thumb/2/29/Grown_Ups_2_Poster.jpg/220px-Grown_Ups_2_Poster.jpg,NA,NA,NA,NA
6/25/2010,Grown Ups,"$75,000,000","$162,001,186","$272,223,430",6.0,"195,195",Comedy,http://www.imdb.com/title/tt1375670/,Dennis Dugan,Jack GiarraputoAdam Sandler,Adam SandlerFred Wolf,Adam SandlerKevin JamesChris RockDavid SpadeRob Schneider,Rupert Gregson-Williams,Theo van de Sande,Tom Costain,Happy Madison ProductionsRelativity Media,Columbia Pictures,"June 25, 2010 (2010-06-25)",102 minutes,United States,English,$80 million[1],$271.4 million[1],https://en.wikipedia.org/wiki/Grown_Ups_(film),//upload.wikimedia.org/wikipedia/en/thumb/f/fe/Grownupsmovie.jpg/220px-Grownupsmovie.jpg,NA,NA,NA,NA
